“first_name”,“last name”,“username”,“password”,“password_confirmation”,“email”,“role”,“avatar”,“location”,“phone_number”
“John”,“Mayer”,“JohnMayer”,“123123123”,,“John.Mayer@gmail.com”,“booker”,“https://villagepipol.com/wp-content/uploads/2021/06/John-Mayer-FI.jpg”,,
“Francis”,“Smith”,“Francis Smith”,“123123123”,,“Francis.Smith@gmail.com”,“artist”,“https://static.stereogum.com/uploads/2022/01/Francis-Of-Delirium-1643145433.jpg”,,
“Skinny”,“Pelembe”,“SkinnyPelembe”,“123123123”,,“Skinny.Pelembe@gmail.com”,“artist”,“https://assets.onbuy.com/i26/product/56dca6bf61b94857906b5e5bff26bf7e-m111983137/skinny-pelembe-dreaming-is-dead-now.jpg”,,
“Carter”,“Logan”,“CarterLogan”,“123123123”,,“Carter.Logan@gmail.com”,“artist”,“https://www.lmmuk.co.uk/upload/files/Logan_Carter_Logan_Acoustic_3.png”,,
“Georgia”,“Ellery”,“GeorgiaEllery”,“123123123”,,“Georgia.Ellery@gmail.com”,“artist”,“https://mir-s3-cdn-cf.behance.net/project_modules/disp/371e2787529117.5dbad08246593.png”,,
“Caroline”,“Polacher”,“Caroline Polacher”,“123123123”,,“Caroline.Polacher@gmail.com”,“artist”,“https://www2.pictures.zimbio.com/gi/Caroline+Polachek+Chairlift+Performs+During+F-QFgMNbOadx.jpg”,,
“Hawantina”,“Ngogo”,“HawantinaNgogo”,“123123123”,,“Hawantina.Ngogo@gmail.com”,“artist”,“https://mediaslide-europe.storage.googleapis.com/milk/pictures/1060/1467/large-1617803802-783bd057ab06269e23a3e38365042ffa.jpg”,,
“Alex”,“Grudge”,“AlexGrudge”,“123123123”,,“Alex.Grudge@gmail.com”,“artist”,“https://i.pinimg.com/originals/2d/7f/31/2d7f31e534e06c92c62dadcb69b4653c.jpg”,,
“Brian”,“Christinzio”,“BrianChristinzio”,“123123123”,,“Brian.Christinzio@gmail.com”,“artist”,“https://dch81km8r5tow.cloudfront.net/wp-content/uploads/2020/01/bigmoon-pghana-13-copy.jpg”,,
“Juliette”,“Jackson”,“JulietteJackson”,“123123123”,,“Juliette.Jackson@gmail.com”,“artist”,“https://www.silentradio.co.uk/wp-content/uploads/2018/10/bccamplight2.png”,,
“Melody”,“Maria”,“MelodyMaria”,“123123123”,,“Melody.Maria@gmail.com”,“artist”,“https://i.ytimg.com/vi/drhfP4LbvZQ/maxresdefault.jpg”,,
