“first_name”,“last name”,“username”,“password”,“password_confirmation”,“email”,“role”,“avatar”,“name”,“genre”,“tiktok_url”,“soundcloud_url”,“spotify_url”,“bandcamp_url”,“instagram”,“user_id”,“is_band”,“instrument”,“rate”,“image_1”,“image_2”,“image_3”,“description”,“tags”
“John”,“Mayer”,“JohnMayer”,“123123123”,,“John.Mayer@gmail.com”,“booker”,“https://villagepipol.com/wp-content/uploads/2021/06/John-Mayer-FI.jpg”,“JOHN MAYER”,“Acoustic guitar”,“https://www.tiktok.com/@johnmayer”,https://soundcloud.com/johnmayer,“https://open.spotify.com/artist/7EXJJpgDl7y4szvrpUYj0s”,“”,“https://www.instagram.com/johnmayer/”,1,“false”,“Guitar”,“10000”,“https://i.pinimg.com/originals/b6/d8/a6/b6d8a6613ce5be626fbcb80a645440cb.jpg”,“https://i.pinimg.com/736x/77/67/67/77676705860fa48cff25ffb41a2c623a.jpg”,“https://www.essence.com/wp-content/uploads/embed/john-mayer-comments.jpg”,"“John Clayton Mayer is an American singer, songwriter, and guitarist. He loves to mix between chords and scales, and this can be heard in songs like 'Gravity', 'Another Kind Of Green' and of course, his cover of 'Bold As Love'.”",“#acoustic#guitar#piano#solo#shoreditch”
“Francis”,“Smith”,“FrancisSmith”,“123123123”,,“Francis.Smith@gmail.com”,“artist”,“https://static.stereogum.com/uploads/2022/01/Francis-Of-Delirium-1643145433.jpg”,“FRANCIS OF DELIRIUM”,“Grunge and Folk”,“https://www.tiktok.com/@francisofdelirium”,“https://soundcloud.com/francisofdelirium”,“https://open.spotify.com/artist/0qrCon6GmV92JY5vNALLif?si=R0NwnUC2TV-UZSf-hp_h6g&dl_branch=1&nd=1”,“https://francisofdelirium.bandcamp.com/”,“https://www.instagram.com/francisofdelirium/”,2,“false”,“Vocalist”,“65”,“https://i.ytimg.com/vi/fkZyzsEZn7M/maxresdefault.jpg”,“https://static.stereogum.com/uploads/2022/01/Francis-Of-Delirium-1643145433.jpg”,“https://www.bestinnewmusic.com/wp-content/uploads/2021/03/Francis-of-Delirium-Red-Video-768x513.jpg”,"“Luxembourg based Francis of Delirium synthesize grunge and folk to create an evocative and vulnerable experience, guiding the listener to look inwards, and delivering a powerful indie rock sound with high energy vocals”",“#folk#rock#girlspower#drum#electric”
“Skinny”,“Pelembe”,“SkinnyPelembe”,“123123123”,,“Skinny.Pelembe@gmail.com”,“artist”,https://s3-eu-west-1.amazonaws.com/releaseimages/1/2/5/5/4/4/8/7/img01.jpg,“SKINNY PELEMBE”,“Dance”,“https://www.tiktok.com/@skinny”,“https://soundcloud.com/skinnypelembe”,“https://open.spotify.com/track/5ZAvFvRzQnKvw6LqJH4vUZ”,“https://skinnypelembe.bandcamp.com/”,“http://instagram.com/skinnypelembe”,3,“false”,“DJ”,“75”,“https://www.sussexjazzmag.com/wp-content/uploads/2018/11/Pelembe_LWorms_2-red-1160x774.png”,“https://assets.onbuy.com/i26/product/56dca6bf61b94857906b5e5bff26bf7e-m111983137/skinny-pelembe-dreaming-is-dead-now.jpg”,“https://thatpunkzinecom.files.wordpress.com/2020/05/skinnypelembe-photobycaseymoore-b1.jpg”,"“Skinny Pelembe is a multi-talented wonder born in Johannesburg. He crafts patchworks of personal and musical touchstones - Sun-dazzled folk, afro-tipped and psychedelic tangents diced with the murkier corners of UK dance lineage.”",“#artist#solo#spotify#house#dance”
“Carter”,“Logan”,“CarterLogan”,“123123123”,,“Carter.Logan@gmail.com”,“artist”,“https://www.lmmuk.co.uk/upload/files/Logan_Carter_Logan_Acoustic_3.png”,“SQÜRL”,“Marginal rock”,“”,“https://soundcloud.com/squrlworld”,“https://open.spotify.com/artist/497WizlJHtwh0GvexNLZxX”,“https://squrlnyc.bandcamp.com/”,“https://www.instagram.com/squrlband/”,4,“true”,“Goth band”,“80”,“https://e-cdn-images.dzcdn.net/images/artist/391879a9daf33d982513ac8245405a3e/264x264-000000-80-0-0.jpg”,“https://i.pinimg.com/originals/e4/c9/70/e4c970a732e8f1caf3915134833d479c.jpg”,“https://i.pinimg.com/736x/f0/5f/7e/f05f7e620d1bba2d3a6a0a276e7bb709--jarmusch-cinema-paradiso.jpg”,"“SQÜRL is: Carter Logan and Jim Jarmusch.  An enthusiastically marginal rock band from NYC who like big drums & distorted guitars, cassette recorders, loops, feedback, sad country songs, molten stoner core, screwed hip-hop, and imaginary movie scores.”",“#singer#concert#love#guitar#voice”
“Georgia”,“Ellery”,“GeorgiaEllery”,“123123123”,,“Georgia.Ellery@gmail.com”,“artist”,“https://mir-s3-cdn-cf.behance.net/project_modules/disp/371e2787529117.5dbad08246593.png”,“JOCKSTRAP”,“Electronic”,“”,“https://soundcloud.com/jockstrap-music”,“https://open.spotify.com/album/4YFlC5Abaj48ERwaOPfpu8”,“https://jockstrapmusic.bandcamp.com/”,“https://www.instagram.com/jockstrap_music/”,5,“true”,“Vocalist/ Violinist”,“150”,“https://optimise2.assets-servd.host/best-fit/production/images/jockstrap03_bc.jpg?w=1200&q=100&auto=format&fit=crop&dm=1642887955&s=6ddbed5da52c7b25fe14a6946448f368”,“https://uploads-ssl.webflow.com/5b8d124a22359eb40a99d85f/63513535d32398b340519364_Jockstrap%20PLP2023_Sold%20Out_WEB.png”,“https://cdn.pitchfork.com/longform/987/jockstrapheader.jpg”,"“After meeting at one of London's longest-running music conservatories, vocalist/violinist/songwriter Georgia Ellery and electronic producer Taylor Skye formed Jockstrap. The band's intentionally crude name stands in stark contrast to their strange but sophisticated sounds.”",“#uk#london#band#mayfair#britishsongs”
“Caroline”,“Polacher”,“CarolinePolacher”,“123123123”,,“Caroline.Polacher@gmail.com”,“artist”,“https://www2.pictures.zimbio.com/gi/Caroline+Polachek+Chairlift+Performs+During+F-QFgMNbOadx.jpg”,“CAROLINE POLACHEK”,“Indie pop”,“https://www.tiktok.com/@carolineplz”,“https://soundcloud.com/carolinepolachekmusic”,“https://open.spotify.com/artist/4Ge8xMJNwt6EEXOzVXju9a”,“https://carolinepolachek.bandcamp.com/album/pang”,“https://www.instagram.com/carolineplz/”,6,“false”,“Vocalist”,“200”,“https://thevinylfactory.com/wp-content/uploads/2019/10/pang.jpg”,"“https://thefader-res.cloudinary.com/private_images/w_1440,c_limit,f_auto,q_auto:best/CP2_credit_Nedda_Asfari_rtvkdy/caroline-polachek-pang-interview.jpg”",“https://diy-magazine.s3.amazonaws.com/d/diy/Artists/C/Caroline-Polachek/Caroline-Polachek-Press-Shot-2.jpg”,"“Caroline Polachek has an infectious energy to her voice which is slippery and impossible to get a hold of. Maybe it's a fantasy, maybe it's a bad attitude. ”",“#soul#classicsong#wedding#indiepop#voice”
“Hawa”,“Ngogo”,“HawaNgogo”,“123123123”,,“Hawantina.Ngogo@gmail.com”,“artist”,“https://mediaslide-europe.storage.googleapis.com/milk/pictures/1060/1467/large-1617803802-783bd057ab06269e23a3e38365042ffa.jpg”,“HAWA”,“Rap / Afrobeat”,“https://www.tiktok.com/@0fficial.hawa”,“https://soundcloud.com/mightbehawa”,“https://open.spotify.com/album/4pg5SeMbmioO8Nxl2pnveF”,“”,“https://www.instagram.com/mightbehawa/”,7,“false”,“Rap”,“95”,“https://i.pinimg.com/originals/be/97/c9/be97c9996e9f3b5fc66c1e4752dd2adf.jpg”,“https://mediaslide-europe.storage.googleapis.com/milk/pictures/1060/1467/large-1617803802-783bd057ab06269e23a3e38365042ffa.jpg”,“https://render.fineartamerica.com/images/rendered/medium/canvas-print/mirror/break/images/artworkimages/medium/1/figure-plains-v-dan-boylan-canvas-print.jpg”,"“HAWA  takes pride in the fluidity of her own sound and enjoys when people can’t ascribe a singular genre, traversing effortlessly between Rap, R&B, Afrobeat, and beyond.”",“#afrobeat#rap#urbanculture#dance#artist”
“Alex”,“Grudge”,“AlexGrudge”,“123123123”,,“Alex.Grudge@gmail.com”,“artist”,“https://i.pinimg.com/originals/2d/7f/31/2d7f31e534e06c92c62dadcb69b4653c.jpg”,“ALEX G”,“Rock”,“”,“https://soundcloud.com/alex-g”,“https://open.spotify.com/album/6TzgWk5HZItbFmMT7hH4bU”,“https://alexgmusic.bandcamp.com/”,“https://www.instagram.com/sandyalexg”,8,“false”,“Guitar”,“170”,“https://cdn.vox-cdn.com/thumbor/KxjgbQJ9khus1wtTS9wy8uipKek=/34x0:585x310/1600x900/cdn.vox-cdn.com/uploads/chorus_image/image/47373780/Alex_G_Press_Shot.0.0.jpg”,“https://i.pinimg.com/originals/2d/7f/31/2d7f31e534e06c92c62dadcb69b4653c.jpg”,“https://crackmagazine.net/wp-content/uploads/2017/05/alex_g_featured.jpg”,"“Alex G is the stage alias of Alex Giannascoli, a singer, songwriter, and guitarist who built his reputation with intimate lo-fi pop that combines strong melodic sensibilities with a ragged, impulsive-sounding performance style.”",“#singer#solo#guitar#electricguitar#saxo”
“Brian”,“Christinzio”,“BrianChristinzio”,“123123123”,,“Brian.Christinzio@gmail.com”,“artist”,“https://dch81km8r5tow.cloudfront.net/wp-content/uploads/2020/01/bigmoon-pghana-13-copy.jpg”,“THE BIG MOON”,“Guitar-based indie”,“https://www.tiktok.com/@thebigmoonuk”,“https://soundcloud.com/commoonicate”,“https://open.spotify.com/artist/0KU55rzxAihPhi27MAuz9O”,“https://thebigmoonband.bandcamp.com/releases”,“https://www.instagram.com/thebigmoon/”,9,“true”,“Guitar”,“300”,“https://www.nme.com/wp-content/uploads/2019/06/BIG-MOON-CAROLINA-FARUOLO-NME-GLASTO19-27194906-1392x884.jpg”,“https://www.thevpme.com/wp-content/uploads/2017/05/FEST-EVOL-2017-the-Big-Moon1-Edit.jpg”,“https://ichef.bbci.co.uk/images/ic/960x540/p0383z96.jpg”,"“Lead singer and songwriter Juliette Jackson started the band back in 2014. At a time where guitar-based indie has fallen out of favour, this London-based quartet is credited with breathing new life into the genre.”",“#girl#girlsband#hardrock#girlsband#guitar”
“Juliette”,“Jackson”,“JulietteJackson”,“123123123”,,“Juliette.Jackson@gmail.com”,“artist”,“https://www.silentradio.co.uk/wp-content/uploads/2018/10/bccamplight2.png”,“BC CAMPLIGHT”,“Deportation Blues”,“”,“https://soundcloud.com/bella-union/bc-camplight-just-because-i-love-you”,“https://open.spotify.com/artist/3cePP77CX6XY9b0aigzrqh”,“https://bc-camplight.bandcamp.com/”,“https://www.instagram.com/bccamplight/”,10,“false”,“Guitar”,“85”,“https://i.ytimg.com/vi/tb1DsyT40K8/maxresdefault.jpg”,“https://www.silentradio.co.uk/wp-content/uploads/2018/10/bccamplight2.png”,“https://www.silentradio.co.uk/wp-content/uploads/2013/09/bc-1-vt.jpg”,"“BC Camplight is the moniker of maverick songsmith Brian Christinzio. His distinctive, flexible vocal carrying a fearless approach to lyrical introspection, his new songs take a leap forward in songwriting sophistication and lyrical communication.”",“#blues#US#rockculture#concert#bar”
